,trt_imdb_score,trt_duration,trt_language,country,trt_content_rating,budget,aspect_ratio,trt_genre
211,6-7,longa_metragem,english,USA,PG-13,125000000.0,2.35,Action
212,6-7,longa_metragem,english,USA,PG-13,125000000.0,2.35,Action
213,5,longa_metragem,english,USA,PG-13,125000000.0,2.35,Action
214,6-7,longa_metragem,english,USA,R,65000000.0,1.85,Action
215,6-7,longa_metragem,english,USA,R,85000000.0,2.35,Action
216,6-7,longa_metragem,english,USA,PG-13,125000000.0,2.35,Action
217,<4,longa_metragem,english,USA,PG-13,125000000.0,1.85,Action
218,6-7,longa_metragem,english,USA,PG,123000000.0,1.85,Comedy
219,6-7,longa_metragem,english,USA,PG-13,125000000.0,2.35,Action
220,6-7,longa_metragem,english,USA,PG-13,125000000.0,2.35,Action
221,6-7,longa_metragem,english,USA,PG-13,140000000.0,2.35,Action
222,5,longa_metragem,english,USA,PG,130000000.0,2.35,Action
223,8-10,longa_metragem,english,USA,PG,120000000.0,1.85,Adventure
224,5,longa_metragem,english,USA,PG-13,110000000.0,2.35,Action
225,6-7,longa_metragem,english,UK,PG-13,120000000.0,2.35,Action
226,<4,longa_metragem,english,USA,PG-13,120000000.0,2.35,Action
227,6-7,longa_metragem,english,USA,R,130000000.0,2.35,Adventure
228,5,longa_metragem,english,USA,PG,120000000.0,1.85,Adventure
229,6-7,longa_metragem,english,USA,R,115000000.0,2.35,Action
230,6-7,longa_metragem,english,USA,PG-13,105000000.0,2.35,Action
231,6-7,longa_metragem,english,USA,PG-13,100000000.0,2.35,Action
232,6-7,longa_metragem,english,USA,PG,120000000.0,2.35,Action
233,5,longa_metragem,english,USA,PG-13,120000000.0,1.85,Comedy
234,6-7,longa_metragem,english,USA,PG-13,117000000.0,2.35,Action
235,6-7,longa_metragem,english,USA,PG-13,120000000.0,2.35,Action
236,6-7,longa_metragem,english,USA,PG-13,113000000.0,2.35,Action
237,6-7,longa_metragem,english,USA,PG,115000000.0,1.78,Action
238,8-10,longa_metragem,english,USA,G,115000000.0,1.85,Adventure
239,6-7,longa_metragem,english,USA,PG-13,120000000.0,2.35,Action
240,6-7,longa_metragem,english,USA,PG,115000000.0,2.35,Action
241,6-7,longa_metragem,english,USA,PG,135000000.0,2.35,Adventure
243,6-7,longa_metragem,english,USA,R,115000000.0,2.35,Action
244,6-7,longa_metragem,english,USA,PG-13,115000000.0,2.35,Action
245,5,longa_metragem,english,USA,PG-13,125000000.0,2.35,Action
246,6-7,longa_metragem,english,UK,PG-13,100000000.0,2.35,Adventure
247,5,longa_metragem,english,USA,PG-13,116000000.0,2.35,Action
248,6-7,longa_metragem,english,USA,PG-13,135000000.0,2.35,Action
249,<4,longa_metragem,english,USA,PG-13,120000000.0,2.35,Action
250,6-7,longa_metragem,english,USA,PG,110000000.0,1.85,Action
251,6-7,longa_metragem,english,USA,PG-13,110000000.0,2.35,Action
252,6-7,longa_metragem,english,UK,PG-13,110000000.0,2.35,Action
253,6-7,longa_metragem,english,USA,R,110000000.0,2.35,Action
254,6-7,longa_metragem,english,USA,PG-13,110000000.0,2.35,Crime
255,6-7,longa_metragem,english,USA,PG-13,120000000.0,2.35,Action
256,6-7,longa_metragem,english,USA,PG-13,110000000.0,2.35,Adventure
257,6-7,longa_metragem,english,USA,PG-13,110000000.0,2.35,Biography
258,<4,longa_metragem,english,USA,PG,112000000.0,2.35,Adventure
259,5,longa_metragem,english,USA,PG-13,120000000.0,2.35,Action
261,6-7,longa_metragem,english,USA,R,110000000.0,2.35,Action
262,5,longa_metragem,english,USA,PG,110000000.0,1.78,Adventure
263,5,longa_metragem,english,USA,PG,110000000.0,1.78,Animation
264,5,longa_metragem,english,USA,PG-13,110000000.0,2.35,Action
265,6-7,longa_metragem,english,USA,PG-13,110000000.0,2.35,Action
266,5,longa_metragem,english,USA,PG,105000000.0,1.85,Adventure
267,<4,longa_metragem,english,USA,PG-13,160000000.0,2.35,Action
268,6-7,longa_metragem,english,USA,PG-13,110000000.0,2.35,Action
269,6-7,longa_metragem,english,USA,PG-13,110000000.0,2.35,Action
270,8-10,longa_metragem,english,New Zealand,PG-13,93000000.0,2.35,Action
271,5,longa_metragem,english,USA,PG,110000000.0,2.35,Action
272,6-7,longa_metragem,english,USA,R,107000000.0,2.35,Biography
273,<4,longa_metragem,english,USA,PG,109000000.0,1.85,Adventure
274,6-7,longa_metragem,english,USA,PG-13,120000000.0,2.35,Action
275,6-7,longa_metragem,english,USA,R,130000000.0,2.35,Action
276,5,longa_metragem,english,Germany,PG,133000000.0,1.85,Adventure
277,6-7,longa_metragem,english,USA,G,105000000.0,1.85,Animation
278,8-10,longa_metragem,english,USA,PG-13,108000000.0,2.35,Adventure
280,6-7,longa_metragem,english,USA,PG-13,126000000.0,2.35,Action
281,<4,longa_metragem,english,New Line,R,90000000.0,1.85,Comedy
282,6-7,longa_metragem,english,USA,PG-13,90000000.0,2.35,Action
283,8-10,longa_metragem,english,USA,R,103000000.0,2.35,Action
284,6-7,longa_metragem,english,USA,PG-13,102000000.0,2.35,Action
285,6-7,longa_metragem,english,UK,PG,100000000.0,2.35,Adventure
286,8-10,longa_metragem,english,UK,PG-13,150000000.0,2.35,Action
287,5,longa_metragem,english,USA,PG-13,100000000.0,2.35,Action
288,8-10,longa_metragem,english,USA,R,102000000.0,2.35,Action
289,6-7,longa_metragem,english,USA,R,100000000.0,2.35,Biography
290,6-7,longa_metragem,english,USA,R,100000000.0,1.85,Biography
291,6-7,longa_metragem,english,USA,R,115000000.0,2.35,Action
292,6-7,longa_metragem,english,USA,R,100000000.0,2.35,Action
293,5,longa_metragem,english,USA,PG-13,100000000.0,1.85,Comedy
294,6-7,longa_metragem,english,USA,PG-13,100000000.0,2.35,Action
295,6-7,longa_metragem,english,USA,R,100000000.0,2.35,Action
296,8-10,longa_metragem,english,USA,R,100000000.0,2.35,Drama
297,6-7,longa_metragem,english,USA,G,100000000.0,1.78,Animation
298,6-7,longa_metragem,english,USA,G,100000000.0,1.66,Adventure
299,6-7,longa_metragem,english,USA,R,92000000.0,2.35,Action
300,6-7,longa_metragem,english,USA,PG,100000000.0,2.35,Action
301,5,longa_metragem,english,USA,PG,100000000.0,2.35,Action
302,6-7,longa_metragem,english,Germany,PG,100000000.0,2.35,Adventure
304,6-7,longa_metragem,english,USA,PG,100000000.0,2.35,Adventure
305,6-7,longa_metragem,english,USA,PG-13,100000000.0,2.35,Action
306,5,longa_metragem,english,USA,R,83000000.0,2.35,Action
307,8-10,longa_metragem,english,Germany,R,100000000.0,2.35,Adventure
308,8-10,longa_metragem,english,USA,R,100000000.0,2.35,Biography
309,5,longa_metragem,english,USA,PG-13,100000000.0,1.85,Action
310,6-7,longa_metragem,english,USA,R,105000000.0,1.85,Action
