,trt_imdb_score,trt_duration,trt_language,country,budget,gross,trt_content_rating,trt_genre
376,5,longa_metragem,english,USA,95000000.0,73209340.0,R,Action
378,5,longa_metragem,english,USA,90000000.0,68558662.0,PG,Adventure
379,5,longa_metragem,english,USA,95000000.0,65653758.0,PG-13,Action
380,6,longa_metragem,english,USA,90000000.0,64685359.0,PG-13,Action
381,6,longa_metragem,english,USA,68000000.0,61355436.0,PG-13,Action
383,5,longa_metragem,english,USA,90000000.0,60874615.0,PG,Adventure
384,7,longa_metragem,english,USA,90000000.0,143618384.0,G,Adventure
385,6,longa_metragem,english,USA,100000000.0,58220776.0,PG,Comedy
386,5,longa_metragem,english,USA,90000000.0,47474112.0,PG-13,Action
387,6,longa_metragem,english,USA,86000000.0,42877165.0,R,Action
390,6,longa_metragem,english,USA,20000000.0,37567440.0,R,Adventure
391,8,longa_metragem,english,USA,88000000.0,61644321.0,PG-13,Biography
393,7,longa_metragem,english,USA,87000000.0,120147445.0,PG-13,Drama
394,6,longa_metragem,english,USA,92000000.0,241688385.0,PG-13,Action
396,7,longa_metragem,english,USA,90000000.0,233630478.0,PG-13,Adventure
397,6,longa_metragem,english,USA,100000000.0,197992827.0,PG,Animation
398,7,longa_metragem,english,USA,75000000.0,176049130.0,PG-13,Action
399,6,longa_metragem,english,USA,85000000.0,172620724.0,R,Action
400,7,longa_metragem,english,USA,85000000.0,183405771.0,PG-13,Crime
402,7,longa_metragem,english,USA,85000000.0,148313048.0,PG,Animation
403,7,longa_metragem,english,USA,85000000.0,127706877.0,PG,Animation
405,6,longa_metragem,english,USA,85000000.0,126149655.0,R,Action
406,4,longa_metragem,english,USA,85000000.0,66941559.0,G,Adventure
407,6,longa_metragem,english,USA,75000000.0,78009155.0,PG-13,Action
408,6,longa_metragem,english,USA,85000000.0,63224849.0,PG-13,Comedy
409,7,longa_metragem,english,USA,90000000.0,111544445.0,R,Action
410,6,longa_metragem,english,USA,85000000.0,112703470.0,R,Comedy
411,6,longa_metragem,english,USA,85000000.0,117144465.0,PG-13,Crime
412,6,longa_metragem,english,USA,85000000.0,84303558.0,PG,Adventure
413,6,longa_metragem,english,USA,85000000.0,150832203.0,PG-13,Adventure
414,7,longa_metragem,english,USA,68000000.0,51396781.0,R,Drama
415,6,longa_metragem,english,USA,85000000.0,47592825.0,PG-13,Action
416,6,longa_metragem,english,USA,70000000.0,50016394.0,PG-13,Action
417,7,longa_metragem,english,USA,85000000.0,57010853.0,PG-13,Drama
418,6,longa_metragem,english,USA,85000000.0,62494975.0,PG-13,Action
420,7,longa_metragem,english,USA,90000000.0,44606335.0,PG-13,Drama
421,5,longa_metragem,english,USA,85000000.0,40048332.0,R,Action
423,5,longa_metragem,english,USA,85000000.0,64933670.0,PG,Adventure
424,7,longa_metragem,english,USA,60000000.0,31494270.0,PG-13,Action
425,5,longa_metragem,english,USA,60000000.0,31111260.0,PG-13,Action
426,4,longa_metragem,english,USA,65000000.0,123307945.0,PG-13,Comedy
427,4,longa_metragem,english,USA,84000000.0,153288182.0,PG,Adventure
429,6,longa_metragem,english,USA,70000000.0,137340146.0,PG-13,Comedy
431,4,longa_metragem,english,USA,85000000.0,43575716.0,PG,Action
432,6,longa_metragem,english,USA,85000000.0,80170146.0,PG-13,Action
433,7,longa_metragem,english,USA,85000000.0,75754670.0,PG-13,Action
434,7,longa_metragem,english,USA,65000000.0,33048353.0,R,Crime
435,5,longa_metragem,english,USA,82000000.0,34543701.0,PG-13,Action
436,6,longa_metragem,english,USA,81000000.0,242589580.0,PG-13,Comedy
437,6,longa_metragem,english,USA,80000000.0,102981571.0,R,Action
438,7,longa_metragem,english,USA,80000000.0,180965237.0,PG-13,Action
439,7,longa_metragem,english,USA,78000000.0,407999255.0,PG-13,Adventure
440,6,longa_metragem,english,USA,80000000.0,254455986.0,R,Comedy
441,7,longa_metragem,english,USA,80000000.0,162831698.0,PG-13,Action
442,6,longa_metragem,english,USA,80000000.0,155019340.0,PG,Adventure
443,7,longa_metragem,english,USA,80000000.0,145771527.0,PG,Adventure
445,6,longa_metragem,english,USA,75000000.0,140459099.0,PG-13,Action
446,6,longa_metragem,english,USA,84000000.0,53215979.0,PG-13,Action
447,6,longa_metragem,english,USA,82000000.0,158115031.0,PG-13,Comedy
448,4,longa_metragem,english,USA,75000000.0,133103929.0,G,Adventure
449,5,longa_metragem,english,USA,80000000.0,133668525.0,PG-13,Comedy
450,6,longa_metragem,english,USA,80000000.0,130313314.0,PG-13,Action
451,6,longa_metragem,english,USA,80000000.0,124590960.0,PG-13,Comedy
452,8,longa_metragem,english,USA,80000000.0,127968405.0,R,Mystery
454,6,longa_metragem,english,USA,75000000.0,128200012.0,PG,Adventure
455,7,longa_metragem,english,USA,80000000.0,112225777.0,R,Action
456,6,longa_metragem,english,USA,80000000.0,109993847.0,PG,Comedy
457,7,longa_metragem,english,USA,80000000.0,104054514.0,R,Crime
458,6,longa_metragem,english,USA,80000000.0,103028109.0,PG-13,Comedy
